category,subcategory,name,value
Osterferien,Hessen,end,1587168000.0
Osterferien,Mecklenburg-Vorpommern,end,1586908800.0
Osterferien,Niedersachsen,end,1586822400.0
Osterferien,Nordrhein-Westfalen,end,1587168000.0
Osterferien,Rheinland-Pfalz,end,1587081600.0
Osterferien,Saarland,end,1587686400.0
Osterferien,Sachsen,end,1587168000.0
Osterferien,Sachsen-Anhalt,end,1604448000.0
Osterferien,Schleswig-Holstein,end,1587081600.0
Osterferien,Thüringen,end,1587168000.0
Pfingstferien,Baden-Württemberg,end,1592006400.0
Pfingstferien,Bayern,end,1592006400.0
Pfingstferien,Berlin,end,1590105600.0
Pfingstferien,Bremen,end,1580947200.0
Pfingstferien,Hamburg,end,1590105600.0
Pfingstferien,Mecklenburg-Vorpommern,end,1580947200.0
Pfingstferien,Niedersachsen,end,1580947200.0
Pfingstferien,Nordrhein-Westfalen,end,1580947200.0
Pfingstferien,Sachsen,end,1590105600.0
Pfingstferien,Sachsen-Anhalt,end,1590796800.0
Pfingstferien,Schleswig-Holstein,end,1590105600.0
Pfingstferien,Thüringen,end,1590105600.0
Sommerferien,Baden-Württemberg,end,1607472000.0
Sommerferien,Bayern,end,1594252800.0
Sommerferien,Berlin,end,1594166400.0
Sommerferien,Brandenburg,end,1596844800.0
Sommerferien,Bremen,end,1598400000.0
Sommerferien,Hamburg,end,1588896000.0
Sommerferien,Hessen,end,1597363200.0
Sommerferien,Mecklenburg-Vorpommern,end,1578441600.0
Sommerferien,Niedersachsen,end,1598400000.0
Sommerferien,Nordrhein-Westfalen,end,1604793600.0
Sommerferien,Rheinland-Pfalz,end,1597363200.0
Sommerferien,Saarland,end,1597363200.0
Sommerferien,Sachsen,end,1598572800.0
Sommerferien,Sachsen-Anhalt,end,1598400000.0
Sommerferien,Schleswig-Holstein,end,1596844800.0
Sommerferien,Thüringen,end,1598659200.0
Herbstferien,Baden-Württemberg,end,1604016000.0
Herbstferien,Bayern,end,1591833600.0
Herbstferien,Berlin,end,1603497600.0
Herbstferien,Brandenburg,end,1603497600.0
