age,BE,DE_TOT,FI,IT,LU,NL,PL,UK
13,0.011255448138141973,0.008862526798465314,0.010908641464291158,0.00945499159321046,0.010516473528003206,0.011104454922685315,0.009609164578067065,0.011430052663047125
14,0.011108444759246612,0.009053591004289574,0.010937094219759297,0.00955588698430568,0.01057511557369839,0.011438209441723237,0.009306447992316186,0.011116085570219456
15,0.010846213078604295,0.00906237210415377,0.010714546552785571,0.00948047223549362,0.010332402662348875,0.011821784113481629,0.009142883597875238,0.010877200500450792
16,0.010799772581233552,0.00923300730398396,0.010530600394822759,0.009425352536614506,0.01044805780802549,0.011898857799223396,0.009234106760384246,0.010654910298288694
17,0.01099644634171529,0.00948870715023521,0.01062502004831894,0.00953903795101441,0.01061258132511476,0.012035067601202465,0.009565870444358979,0.010752303865769908
18,0.011273256148411957,0.01006709133703785,0.010801173413382836,0.009790746272346051,0.011428683127706086,0.012533963485936338,0.009823396802954704,0.01109883050896489
19,0.011210753524131032,0.01037232188650114,0.011002336206819998,0.009762449174153828,0.011269046447758082,0.012583436459892202,0.009892709552297575,0.011558700398000742
20,0.011332179711805288,0.010740393311124257,0.010808422523056246,0.009888891477083012,0.011231580696341713,0.012632388665701162,0.01018586666691948,0.011981539425144183
21,0.011593538450767705,0.01125664730163125,0.011216909853152972,0.009862532763251731,0.011997185181806631,0.012323631017714623,0.010622494852369638,0.012320098731359882
22,0.011742375007190857,0.01119648050626546,0.011547831709744199,0.009897258007871695,0.012432113687379254,0.012316398126785403,0.011061045465898074,0.012596794891877686
23,0.011831327764372788,0.011044720455251726,0.012031347324960733,0.009885279786564333,0.012712292350145139,0.012411698697668805,0.011384434737148253,0.012716454990577837
24,0.01201560575299993,0.011258213204213342,0.012456507607306305,0.010006586199306403,0.013588665144145405,0.012803721386032524,0.01211885493231315,0.012961176772370872
25,0.012546354294379853,0.011649014307085759,0.012516131534370114,0.010210232528919286,0.014346124901041549,0.012822179723683894,0.012638279198285342,0.013196370759471169
26,0.01302813080751732,0.01186910793770112,0.013005990120550882,0.010658181557561748,0.014901595389432051,0.012969325656747943,0.01313753113675121,0.013451115481192943
27,0.01323283563145415,0.012309427698381097,0.012894897514805853,0.010618867146548782,0.014696348229498904,0.013139558977658063,0.01391240132545359,0.013810891010551215
28,0.013259373058523144,0.013448200237696785,0.01308138086115436,0.010860519063546303,0.015743760323443462,0.013201819702776788,0.014210904370210982,0.013824965138774506
29,0.013102505438644902,0.013280070481997945,0.012814251169689152,0.010850495793987582,0.015447292203540025,0.012781617671352828,0.014285694722845388,0.013641671375047728
30,0.013103203791988823,0.013582265589532872,0.012848684440637857,0.011112757541284357,0.01585452863197881,0.012650557687715364,0.014661963933563836,0.01364038099655391
31,0.012886452372869357,0.013293729970675584,0.012257882002254836,0.01091171229154043,0.015520594760659007,0.012637133442150731,0.01488233212752324,0.013523106597627217
32,0.012891864611284744,0.013053086880021375,0.012422799247324942,0.010969615311553205,0.015758420834867257,0.012586503205646192,0.01546401146167421,0.013405337053464523
33,0.012668478835398029,0.012657226707268352,0.0128062771490484,0.011314084436619189,0.015377247537848554,0.012318018294353549,0.01630379651630751,0.013451160494396217
34,0.012766597480218923,0.012567632988763698,0.0131658329888496,0.01151309189767597,0.015455436932108801,0.012120936482314165,0.016763493838697012,0.013277454542966543
35,0.012789555846400324,0.012589664033553292,0.013405778519039515,0.011709432009312992,0.015530368434941537,0.011792852549764749,0.017211235238517496,0.01315389329998275
36,0.013071865185680369,0.012836486416704528,0.0132588028204111,0.012104282560375785,0.015885478600540157,0.011827281110587836,0.016639984418325406,0.013188793536920249
37,0.01321904315291171,0.012726162557093862,0.01271221995103589,0.012192305091227823,0.015694891952030807,0.012042126902749384,0.01591636142195632,0.013228750257025391
38,0.01338141030537333,0.012777391662337247,0.012612182237542813,0.012498834898459972,0.015913170677673998,0.012207441857827635,0.016204277944967573,0.013268977056350169
39,0.013164484297917885,0.012157089467952437,0.012482966857614257,0.012875196244849159,0.015346297569287206,0.011804135859614331,0.016117162984927217,0.01299558186407237
40,0.01300613267718381,0.011986020633561053,0.012514138029209925,0.01354801442674867,0.015315347600725858,0.011803615091467427,0.015685854394981335,0.01230147826960604
41,0.01285293141236115,0.011872444514741424,0.012627586595598811,0.013975668405458186,0.015333266003577165,0.011632050918626331,0.015574116554760285,0.011777839675933745
42,0.012681136489756597,0.011642040017893207,0.01267796790782902,0.014576683529064317,0.014849469126591887,0.011737593263065508,0.015643350300209528,0.011798830833059952
43,0.012481582021731184,0.011339941273594101,0.012399783324111862,0.015244697168530724,0.014978155837978544,0.011819064546492241,0.015114919590363759,0.012023791818616236
44,0.01282290221857255,0.011480246144949604,0.011826559976686864,0.015855569887818572,0.014743587655197803,0.012339832693396075,0.01457218917577134,0.012238774877447053
45,0.01308696707674266,0.01155958922424379,0.01077253943017286,0.01575013503249345,0.014614900943811147,0.012767094026366953,0.013997251507209948,0.012619151449503168
46,0.013494194370416565,0.012506370061590442,0.011123396338365968,0.015900218997671058,0.014927658520852134,0.013805389985038332,0.013480039350259338,0.013168327533832224
47,0.013731110742341748,0.013731989967189884,0.011449606273669475,0.01604574693123106,0.015360958080711003,0.014461905028901764,0.012930172250609199,0.013660471889614662
48,0.013863099524342807,0.014222466792114736,0.011806443697343147,0.015901213040933077,0.015030282100818708,0.015075427769081913,0.012517403241034664,0.013712837249422
49,0.013698288135177464,0.015247374122903333,0.01203950257334332,0.01632868477837789,0.015295800252160796,0.015392749159928651,0.012049621186863906,0.013717413591754733
50,0.013648093988583144,0.015944465770833072,0.012881305434168207,0.01620959839558767,0.015360958080711003,0.01474983195101215,0.011818640136527156,0.013883962443864034
51,0.013661886467125585,0.016336218460659222,0.013184861901742305,0.016264469583651277,0.015460323769250066,0.014578383504425921,0.011688125704253875,0.01397185822545469
52,0.01396750334925899,0.01674029359926599,0.013235243213972514,0.016392237277596488,0.015128018843644018,0.014644983964102179,0.011728760040209821,0.014047315358540967
53,0.014229385853229347,0.016764721679546638,0.013267139296535524,0.01634319781000341,0.015185031943625447,0.014835642968996416,0.011837838082678733,0.014086626889399198
54,0.01458414935194119,0.017037875316885984,0.013497842211891839,0.016539554489028132,0.01492928746656589,0.015074039054023504,0.01207727254963367,0.014063114992889715
55,0.01426028798869785,0.016855929482251297,0.013612740600215407,0.015514977531474475,0.014533453658123389,0.01480509123771139,0.012303776712664841,0.01383119196522724
56,0.01390919084504159,0.01628043619252329,0.013435862324184172,0.014982783336375658,0.013834635946922432,0.01449801162042043,0.01237769802246934,0.013514944203433752
57,0.013818579498667848,0.015995538285818248,0.013333649877789072,0.014667224302846811,0.013433915301338667,0.014323554291207645,0.012783383016248573,0.013123854488998714
58,0.013580179125886832,0.015414443883008142,0.013227994104299102,0.014195766151057531,0.012793739635832897,0.013898896798971286,0.013451808625602971,0.012620381810392624
59,0.013509994614822777,0.014931856798016141,0.013123788152743815,0.013832227962748427,0.012402792664531662,0.01373473910644171,0.01425828037175651,0.01220588523025574
60,0.013085133899214868,0.014052674770597982,0.01265531444009961,0.013198889865738883,0.011907593167550098,0.013323621586024851,0.014671365396905554,0.011924477687795384
61,0.012722252042879943,0.013672630213924095,0.013147891442407907,0.013041632221687022,0.01135375162487335,0.012994727569691363,0.014803380903157765,0.011557530054715649
62,0.012377265490982992,0.013237815203090399,0.013439486879020877,0.012748671104981473,0.0108943889335944,0.01271177687654028,0.014571346467572641,0.011115035262143092
63,0.012087361559087807,0.012763852627704384,0.01325300353267237,0.012478920898444133,0.010231408028096056,0.012342147218493426,0.014576086701190314,0.010689885557231648
64,0.011742025830518896,0.012449443480029136,0.01321041501334108,0.01225398547563628,0.010070142402434297,0.0120942615805672,0.013874295114093736,0.010477108145361198
65,0.01132004582245466,0.011976745672113273,0.01295035320380745,0.011652953784642449,0.009516300859757548,0.011845276543219735,0.01363641439038015,0.010382910515312352
66,0.011107397229230731,0.011883670831714582,0.013319695341667756,0.011432359017412092,0.009167706477013947,0.01179024870903023,0.01324068388719803,0.010124114605296025
67,0.010537715488927214,0.011565672153504996,0.012789604196799554,0.011345628742800684,0.008232691637318495,0.01128325198645563,0.012845980434633074,0.009972720198288562
68,0.010479577573045795,0.011483052724192892,0.013144448115313038,0.011703915069208771,0.00841513355725907,0.011255014780267957,0.012103607180842968,0.01006372189090504
69,0.010296347114434536,0.011011149912972555,0.013438037057086195,0.011701446528441416,0.00818056537447833,0.011288575394179537,0.011384250394729787,0.010239408423278716
70,0.010263960978110201,0.009963850175260034,0.013554566495086282,0.012128951400661628,0.007968802431690162,0.011494510264716287,0.010871936479184106,0.010579798266427508
71,0.010001903885803864,0.009275925080137774,0.013353403701649119,0.01177202360004497,0.007452426640429781,0.011940982155995173,0.009944773118198358,0.011227838349544689
72,0.009883445699841273,0.007984224085574022,0.012830199210970658,0.01166481603423591,0.006968629763444503,0.0121437924176505,0.008849910825671799,0.010261074778454017
73,0.008216563562069951,0.0069380686612868754,0.01129193813827278,0.00892910957282548,0.00602058335803901,0.008528562078716651,0.006210996436081689,0.008736192499984096
74,0.008034293339306582,0.009159771244759933,0.008894657569275663,0.009081579241831938,0.005917959778072436,0.0087434078708782,0.006011485270040049,0.008505394802403442
75,0.00746007230226758,0.009172948917258466,0.00833122051990977,0.009042712150286883,0.005844657220953455,0.008127802058110435,0.005681038317625779,0.008115640479665495
76,0.006461601608796598,0.008745758647459113,0.006556638471858684,0.008856676953799486,0.005559591721046304,0.007328307226358182,0.005412398744659732,0.007329244814088869
77,0.0057305129518793515,0.01041996146121019,0.009328879238713,0.008759989679180158,0.005056247495495965,0.00678555109102952,0.0055929753108618875,0.006492254308033633
78,0.006226343826063228,0.010691549195967444,0.006433403607410692,0.009457890886058024,0.004927560784109309,0.006730465393712581,0.005647514332096343,0.006166658804360495
79,0.006535539769084229,0.010228066122476974,0.0072733941908172265,0.00908984636829442,0.005098600084053599,0.006250664341031849,0.005441840862351727,0.006128757687204811
80,0.0064080029896506656,0.009169323250510697,0.006751820749815284,0.008572877602492238,0.0046783320899047715,0.0058496728679158965,0.005184841196380189,0.00588540130591105
81,0.005920465061425851,0.008183768256150538,0.006066779885677916,0.007671462605103093,0.004277611444321007,0.005208317963440109,0.004951648037021856,0.005518678738847679
82,0.0055176024761514515,0.0074989508753835095,0.0054641976440756015,0.006915708080375555,0.004036527478685245,0.004870744477991557,0.004707051982349898,0.0051021565645635175
83,0.005141888377121979,0.006788368374438818,0.005185650604874773,0.006731909481227708,0.0036358068331014803,0.004440184946756954,0.004308740685309268,0.004692401375171365
84,0.004892488939174209,0.005840033679914551,0.0046379803690485485,0.0061683200864367,0.0033588860617631056,0.0040559159174693585,0.003864475456808413,0.00423587746757879
85,0.004514679780112974,0.004311026171736896,0.004026699195838141,0.005595602061022792,0.003064046887573425,0.003619454347236512,0.00345505094539746,0.003802865456495699
86,0.004248083391071151,0.0038943274492375638,0.0038614194952843635,0.00501045849483361,0.0028131892476551327,0.00331943403149247,0.003219013645868523,0.0034669919380752763
87,0.00384373680494092,0.003554659088372712,0.0035502514625531836,0.00456761222160286,0.002738257744822396,0.00289830619002957,0.0028753993778496047,0.0031339242426588567
88,0.003416781029301248,0.003313714862606563,0.0032331029143414392,0.004249369271266553,0.002464594864911532,0.002551358877936749,0.002538658448576313,0.0027536977146136506
89,0.002767836184462703,0.002784379562836858,0.002735270307519918,0.0034227891641199553,0.0020638742193277667,0.002081163104410021,0.0020433303701606295,0.002341256737426222
90,0.002298804619851794,0.0023435298043598656,0.002285463052284747,0.0029061020439086803,0.0015654168309186928,0.0017562037807420286,0.0016670874940733912,0.0019383285505304416
91,0.0018777848476354499,0.0018411039381931987,0.0017975979712641667,0.0024311150385392228,0.0012868671138665632,0.0013947328236633342,0.0012744381427427602,0.001632178750671147
92,0.0015215373480677741,0.0014850779180477175,0.0014402168643649898,0.0019491200281725113,0.0010083173968144339,0.0011393828422981544,0.0010055088888334105,0.0013426088140173276
93,0.001212515993382753,0.0011623815320918544,0.0011656568354845367,0.0015477750611311756,0.0007704913226061829,0.0008726338248285241,0.0008199550773326979,0.0010657476050875243
94,0.000927238652391044,0.0008383119700255409,0.0008590194962992389,0.001198501393632086,0.0005440678683942179,0.0006790816635625992,0.0005695390691634846,0.0008358201627701437
95,0.0006764425077554321,0.000615231079099726,0.0006324848190051358,0.0009212130256910813,0.000431670614145113,0.0005036985243108748,0.00042854345366890396,0.0006403428253575339
96,0.0004818638073054569,0.00045117267011432645,0.0004278786984731019,0.0006696206760733423,0.00026714709705584353,0.0003551638761884146,0.0003015051927152511,0.0004856624545111572
97,0.0003359079584259779,0.00033195930199916493,0.00028452755468139345,0.0004858883464762972,0.0002101339970744135,0.00024065274699700494,0.000183815725840899,0.0003628214227797297
98,0.0002301074268219537,0.00021974431388550986,0.00019554473344026978,0.0003310495410286883,0.00014171827709669746,0.0001635211981278038,0.00011568803490244547,0.00026112159218541985
99,0.00011322053588318435,0.00011863518870023497,9.677561414004083e-05,0.0001520223495385469,8.470517711526746e-05,9.593706528517292e-05,6.773267147031408e-05,0.00011617907764705544
